,Name,Date,Rate,Genre,Certificate
1471,The Mitchells vs the Machines,2021,7.7,"Animation, Adventure, Comedy",PG
1475,Fear of Rain,2021,5.9,"Drama, Horror, Thriller",PG-13
2671,Seance,2021,5.3,"Horror, Mystery",R
1482,Verdens verste menneske,2021,8.2,"Comedy, Drama",None
1499,C'mon C'mon,2021,8.0,Drama,R
1511,Cosmic Sin,2021,2.5,"Action, Adventure, Sci-Fi",R
1532,Cherry,2021,6.6,"Crime, Drama",R
1533,Snowfall,2021,8.2,"Crime, Drama",TV-MA
1534,Full House,2021,6.7,"Comedy, Drama, Family",TV-G
1538,Midnight in the Switchgrass,2021,4.4,"Action, Crime, Thriller",R
1539,Prey,2021,4.2,"Adventure, Drama, Thriller",TV-MA
1540,Tata muta muntii,2021,5.5,"Drama, Thriller",TV-MA
1595,Fear Street: 1666,2021,6.6,"Horror, Mystery",R
1640,Clifford the Big Red Dog,2021,,"Animation, Adventure, Comedy",PG
1684,The Dig,2021,7.1,"Biography, Drama, History",PG-13
1698,Zone 414,2021,4.9,"Sci-Fi, Thriller",R
1699,Eureka,2021,7.9,"Adventure, Comedy, Drama",TV-14
1710,Jupiter's Legacy,2021,6.7,"Action, Adventure, Drama",TV-MA
1725,The Unholy,2021,5.1,"Drama, Horror, Mystery",PG-13
1726,Hart of Dixie,2021,7.7,"Comedy, Drama, Romance",TV-PG
1728,In the Earth,2021,5.2,"Horror, Sci-Fi, Thriller",R
1744,Warning,2021,5.8,"Sci-Fi, Thriller",R
1745,Hitmen,2021,5.4,"Comedy, Crime",None
1760,Afterlife of the Party,2021,5.8,"Comedy, Drama, Fantasy",TV-PG
1761,Barb and Star Go to Vista Del Mar,2021,6.4,Comedy,PG-13
1776,Without Remorse,2021,5.8,"Action, Thriller, War",R
1454,A Mouthful of Air,2021,,Drama,R
1448,Midnight,2021,6.6,Thriller,None
1442,Things Heard & Seen,2021,5.3,"Drama, Horror, Mystery",TV-MA
1279,Law & Order: Criminal Intent,2021,7.4,"Crime, Drama, Mystery",TV-14
1093,Jane the Virgin,2021,7.8,Comedy,TV-PG
1094,Black Clover,2021,8.3,"Animation, Action, Adventure",TV-PG
1095,Benedetta,2021,6.7,"Biography, Drama, History",None
1100,Way Down,2021,6.4,"Action, Thriller",R
1123,Demonic,2021,4.2,"Drama, Horror, Sci-Fi",R
1153,Girl in the Basement,2021,6.4,"Crime, Thriller",TV-14
1164,The Woman in the Window,2021,5.7,"Crime, Drama, Mystery",R
1169,The Tender Bar,2021,7.4,Drama,R
1180,Ich bin dein Mensch,2021,7.2,"Comedy, Romance, Sci-Fi",R
1181,Q-Force,2021,6.3,"Animation, Action, Adventure",TV-MA
1199,Willy's Wonderland,2021,5.5,"Action, Comedy, Horror",TV-MA
1239,Werewolves Within,2021,6.0,"Comedy, Horror",R
1278,Boku no Hero Academia: World Heroes Mission,2021,7.8,"Animation, Action, Adventure",None
1280,Tell Me Your Secrets,2021,7.4,"Crime, Drama, Mystery",TV-14
1419,One Punch Man: Wanpanman,2021,8.8,"Animation, Action, Comedy",TV-PG
1281,The Last Letter from Your Lover,2021,6.7,"Drama, Romance",TV-MA
1314,Hit and Run,2021,7.1,"Action, Crime, Drama",TV-MA
1322,Attack of the Hollywood Cliches!,2021,6.1,"Documentary, Comedy",TV-MA
1339,Aftermath,2021,5.3,"Drama, Horror, Mystery",TV-MA
1362,King Richard,2021,6.7,"Biography, Drama, Sport",PG-13
1390,Blood Red Sky,2021,6.1,"Action, Horror, Thriller",TV-MA
1391,You Belong to Me,2021,5.3,"Drama, Mystery, Thriller",R
1404,The Marksman,2021,5.6,"Action, Drama, Thriller",PG-13
1405,Parenthood,2021,8.2,"Comedy, Drama",TV-PG
1414,Bellbottom,2021,6.2,"Action, Thriller",None
1415,Baki,2021,6.7,"Animation, Action, Drama",TV-MA
1416,Atlanta,2021,8.6,"Comedy, Drama, Music",TV-MA
1418,Beckett,2021,5.6,"Action, Crime, Drama",TV-MA
2658,Censor,2021,6.0,"Horror, Mystery",None
3049,Wish Dragon,2021,7.2,"Animation, Adventure, Comedy",PG
2682,Hustle Down,2021,4.2,"Action, Comedy, Drama",None
5079,Petite maman,2021,7.3,"Drama, Fantasy",None
4982,The Oval,2021,4.1,Drama,TV-14
4983,Wycliffe,2021,7.1,"Crime, Drama, Mystery",TV-14
4986,Night Raiders,2021,6.4,Sci-Fi,None
4987,Sam & Cat,2021,5.7,"Comedy, Drama, Family",TV-G
4991,The Forgiven,2021,6.8,Drama,None
4992,America: The Motion Picture,2021,5.6,"Animation, Action, Adventure",TV-MA
4993,Resort to Love,2021,5.7,"Comedy, Romance",PG
4994,Killjoys,2021,7.2,"Action, Adventure, Sci-Fi",TV-MA
5008,My Struggle,2021,8.7,Biography,None
5026,Queen Bees,2021,6.0,"Comedy, Drama, Romance",PG-13
5032,Yes Day,2021,5.7,"Comedy, Family",PG
5051,The Girl Who Got Away,2021,5.7,"Horror, Thriller",TV-MA
5057,Deadly Cuts,2021,7.2,Comedy,None
